Sample Age,Mean Resolution,5th Percentile Resolution,95th Percentile Resolution, Uncertainty Used
-1293.5,159.820429,127.499420,244.748053,18.135378
-1293,160.223760,127.499420,244.748887,18.134813
-1292.5,160.744819,127.499420,244.998886,18.134249
-1292,161.265879,127.749419,244.998886,18.133685
-1291.5,161.265879,127.749419,244.998886,18.133685
-1291,161.265879,127.749419,244.998886,18.133685
-1290.5,161.793554,127.749419,245.248885,18.133120
-1290,162.321230,128.186480,245.248885,18.132556
-1289.5,162.321230,128.186480,245.248885,18.132556
-1289,162.321230,128.186480,245.248885,18.132556
-1288.5,162.855106,128.498978,245.498326,18.131992
-1288,163.388982,128.499416,245.498884,18.131427
-1287.5,163.388982,128.499416,245.498884,18.131427
-1287,163.388982,128.499416,245.498884,18.131427
-1286.5,163.847798,128.530155,245.498884,18.130863
-1286,164.306614,129.030150,245.498884,18.130298
-1285.5,164.858909,129.030150,245.498884,18.129734
-1285,165.411204,129.123973,245.498884,18.129169
-1284.5,165.411204,129.123973,245.498884,18.129169
-1284,165.411204,129.123973,245.498884,18.129169
-1283.5,165.968900,129.124120,245.748324,18.128605
-1283,166.526596,129.249412,245.748324,18.128041
-1282.5,167.089158,129.374118,245.748324,18.127477
-1282,167.651721,130.030142,245.748324,18.126913
-1281.5,168.789042,130.061465,245.748324,18.125784
-1281,169.926363,130.655136,245.748883,18.124656
-1280.5,170.525053,130.655136,245.748883,18.124093
-1280,171.123743,130.655136,245.748883,18.123529
-1279.5,171.687257,130.998958,245.748883,18.122965
-1279,172.250771,130.999405,245.748883,18.122401
-1278.5,172.814766,131.748952,245.873324,18.121837
-1278,173.378762,131.749401,245.873324,18.121273
-1277.5,173.942343,131.811377,245.873324,18.120709
-1277,174.505924,131.826964,245.935544,18.120145
-1276.5,175.068140,132.280123,245.935544,18.119581
-1276,175.630356,132.405122,245.935544,18.119017
-1275.5,176.190201,132.936443,245.935544,18.118453
-1275,176.750046,132.999395,245.935544,18.117890
-1274.5,176.750046,132.999395,245.935544,18.117890
-1274,176.750046,132.999395,245.935544,18.117890
-1273.5,176.750046,132.999395,245.935544,18.117890
-1273,176.750046,132.999395,245.935544,18.117890
-1272.5,177.306460,132.999395,245.935544,18.117326
-1272,177.862874,133.030116,245.998323,18.116762
-1271.5,177.862874,133.030116,245.998323,18.116762
-1271,177.862874,133.030116,245.998323,18.116762
-1270.5,177.862874,133.030116,245.998323,18.116762
-1270,177.862874,133.030116,245.998323,18.116762
-1269.5,178.414746,133.686437,245.998323,18.116198
-1269,178.966617,134.061434,245.998323,18.115634
-1268.5,178.966617,134.061434,245.998323,18.115634
-1268,178.966617,134.061434,245.998323,18.115634
-1267.5,179.512784,134.264443,245.998323,18.115071
-1267,180.058951,134.499389,245.998323,18.114507
-1266.5,180.598207,134.749081,245.998323,18.113943
-1266,181.137463,134.749387,245.998323,18.113379
-1265.5,182.190204,135.639430,245.998882,18.112252
-1265,183.242946,135.905092,245.998882,18.111125
-1264.5,184.252600,135.999382,245.998882,18.109997
-1264,185.262254,136.249381,245.998882,18.108870
-1263.5,186.453584,136.624068,245.998882,18.107742
-1263,187.644913,136.873911,245.998882,18.106615
-1262.5,188.300254,136.999377,245.998882,18.105488
-1262,188.955594,136.999377,245.998882,18.104362
-1261.5,189.770786,137.249376,245.998882,18.103235
-1261,190.585977,137.342579,245.998882,18.102108
-1260.5,191.644138,137.499375,245.998882,18.100418
-1260,192.702299,137.811404,245.998882,18.098728
-1259.5,193.534939,137.811404,245.998882,18.097039
-1259,194.367578,137.811404,245.998882,18.095349
-1258.5,194.949018,137.811404,245.998882,18.093660
-1258,195.530458,137.811404,245.998882,18.091971
-1257.5,196.304440,137.811404,245.998882,18.090281
-1257,197.078423,137.811404,245.998882,18.088592
-1256.5,197.109403,137.811404,245.998882,18.086903
-1256,197.140382,137.749374,245.998882,18.085214
-1255.5,196.998328,137.749374,245.998882,18.084088
-1255,196.856274,137.499375,245.998882,18.082963
-1254.5,196.410180,137.280080,245.998882,18.081275
-1254,195.964085,137.280080,245.998882,18.079587
-1253.5,195.161212,137.249376,245.998882,18.078462
-1253,194.358339,137.249376,245.998882,18.077337
-1252.5,194.119435,137.249376,245.998882,18.076774
-1252,193.880532,137.249376,245.998882,18.076212
-1251.5,193.618992,137.249376,245.998882,18.075649
-1251,193.357452,137.249376,245.998882,18.075087
-1250.5,193.074780,137.249376,245.998882,18.074524
-1250,192.792108,137.249376,245.998882,18.073962
-1249.5,193.074780,137.249376,245.998882,18.074524
-1249,193.357452,137.249376,245.998882,18.075087
-1248.5,193.618992,137.249376,245.998882,18.075649
-1248,193.880532,137.249376,245.998882,18.076212
-1247.5,194.119435,137.249376,245.998882,18.076774
-1247,194.358339,137.249376,245.998882,18.077337
-1246.5,194.573208,137.249376,245.998882,18.077900
-1246,194.788078,137.249376,245.998882,18.078462
-1245.5,195.140707,137.249376,245.998882,18.079588
-1245,195.493336,137.280080,245.998882,18.080713
-1244.5,195.628909,137.280080,245.998882,18.081276
-1244,195.764482,137.280080,245.998882,18.081838
-1243.5,195.949689,137.342579,245.998882,18.082964
-1243,196.134897,137.499375,245.998882,18.084089
-1242.5,196.201245,137.499375,245.998882,18.085215
-1242,196.267594,137.749374,245.998882,18.086341
-1241.5,196.255142,137.749374,245.998882,18.086904
-1241,196.242690,137.811404,245.998882,18.087467
-1240.5,196.125716,137.811404,245.998882,18.088593
-1240,196.008741,137.811404,245.998882,18.089718
-1239.5,195.904326,137.811404,245.998882,18.090281
-1239,195.799912,137.811404,245.998882,18.090844
-1238.5,195.665185,137.811404,245.998882,18.091407
-1238,195.530458,137.811404,245.998882,18.091971
-1237.5,195.530458,137.811404,245.998882,18.091971
-1237,195.530458,137.811404,245.998882,18.091971
-1236.5,195.530458,137.811404,245.998882,18.091971
-1236,195.530458,137.811404,245.998882,18.091971
-1235.5,195.530458,137.811404,245.998882,18.091971
-1235,195.530458,137.811404,245.998882,18.091971
-1234.5,195.530458,137.811404,245.998882,18.091971
-1234,195.530458,137.811404,245.998882,18.091971
-1233.5,195.665185,137.811404,245.998882,18.091407
-1233,195.799912,137.811404,245.998882,18.090844
-1232.5,195.904326,137.811404,245.998882,18.090281
-1232,196.008741,137.811404,245.998882,18.089718
-1231.5,196.082579,137.811404,245.998882,18.089155
-1231,196.156417,137.811404,245.998882,18.088593
-1230.5,196.199554,137.811404,245.998882,18.088030
-1230,196.242690,137.811404,245.998882,18.087467
-1229.5,196.255142,137.749374,245.998882,18.086904
-1229,196.267594,137.749374,245.998882,18.086341
-1228.5,196.249525,137.749374,245.998882,18.085778
-1228,196.231456,137.499375,245.998882,18.085215
-1227.5,196.183176,137.499375,245.998882,18.084652
-1227,196.134897,137.499375,245.998882,18.084089
-1226.5,196.056866,137.499375,245.998882,18.083527
-1226,195.978835,137.342579,245.998882,18.082964
-1225.5,195.736086,137.280080,245.998882,18.081838
-1225,195.493336,137.280080,245.998882,18.080713
-1224.5,195.330260,137.280080,245.998882,18.080150
-1224,195.167183,137.249376,245.998882,18.079588
-1223.5,194.977630,137.249376,245.998882,18.079025
-1223,194.788078,137.249376,245.998882,18.078462
-1222.5,194.573208,137.249376,245.998882,18.077900
-1222,194.358339,137.249376,245.998882,18.077337
-1221.5,193.857896,137.249376,245.998882,18.076212
-1221,193.357452,137.249376,245.998882,18.075087
-1220.5,192.772575,137.249376,245.998882,18.073962
-1220,192.187699,136.999377,245.998882,18.072837
-1219.5,191.531503,136.999377,245.998323,18.071712
-1219,190.875307,136.999377,245.998323,18.070587
-1218.5,190.162066,136.624068,245.998323,18.069462
-1218,189.448826,136.624068,245.935544,18.068338
-1217.5,188.304991,136.624068,245.935544,18.066651
-1217,187.161155,136.624068,245.873324,18.064964
-1216.5,185.974533,136.530086,245.873324,18.063278
-1216,184.787912,136.530086,245.748883,18.061591
-1215.5,183.997959,136.530086,245.748883,18.060467
-1215,183.208007,136.530086,245.748883,18.059343
-1214.5,182.059280,136.530086,245.748324,18.057657
-1214,180.910552,136.530086,245.748324,18.055971
-1213.5,180.022681,136.530086,245.748324,18.054286
-1213,179.134810,136.530086,245.748324,18.052601
-1212.5,178.511091,136.530086,245.498884,18.051477
-1212,177.887371,136.530086,245.498884,18.050353
-1211.5,177.275170,136.530086,245.498884,18.048669
-1211,176.662968,136.530086,245.498326,18.046984
-1210.5,176.188274,136.530086,245.248885,18.045861
-1210,175.713580,136.530086,245.248885,18.044738
-1209.5,175.729864,136.530086,245.248885,18.044177
-1209,175.746147,136.530086,245.248885,18.043616
-1208.5,175.360770,136.530086,244.998886,18.042493
-1208,174.975392,136.530086,244.998886,18.041370
-1207.5,174.802156,136.530086,244.748887,18.040808
-1207,174.628921,136.530086,244.748887,18.040247
-1206.5,174.468799,136.530086,244.748887,18.039686
-1206,174.308678,136.530086,244.748053,18.039124
-1205.5,174.308678,136.530086,244.748053,18.039124
-1205,174.308678,136.530086,244.748053,18.039124
-1204.5,174.161694,136.530086,244.748053,18.038563
-1204,174.014710,136.530086,244.685554,18.038001
-1203.5,174.247013,136.530086,244.748053,18.038002
-1203,174.479317,136.530086,244.748053,18.038003
-1202.5,174.344197,136.624068,244.748053,18.037441
-1202,174.209077,136.624068,244.685554,18.036880
-1201.5,174.085945,136.624068,243.810561,18.036319
-1201,173.962813,136.624068,243.810561,18.035757
-1200.5,174.185793,136.624068,243.810561,18.035758
-1200,174.408773,136.624068,244.685554,18.035759
-1199.5,174.295511,136.624068,243.810561,18.035197
-1199,174.182249,136.624068,243.748892,18.034636
-1198.5,174.079883,136.624068,243.748892,18.034075
-1198,173.977518,136.624068,243.748892,18.033514
-1197.5,173.804967,136.624068,243.498893,18.032391
-1197,173.632417,136.624068,243.498893,18.031269
-1196.5,173.561878,136.999377,243.248341,18.030708
-1196,173.491340,136.999377,243.248341,18.030146
-1195.5,173.187772,136.999377,242.623070,18.029024
-1195,172.884205,136.999377,241.748901,18.027901
-1194.5,172.850174,136.999377,240.935583,18.027340
-1194,172.816144,136.999377,240.935583,18.026779
-1193.5,172.609622,136.999377,240.498087,18.025656
-1193,172.403100,137.249376,238.998914,18.024533
-1192.5,172.416627,137.249376,238.873100,18.023412
-1192,172.430154,137.249376,201.999082,18.022290
-1191.5,172.449406,137.249376,201.999082,18.021729
-1191,172.468657,137.249376,201.998623,18.021168
-1190.5,172.413838,137.249376,201.998623,18.020046
-1190,172.359018,137.249376,201.904529,18.018923
-1189.5,172.408614,137.280080,201.904529,18.018363
-1189,172.458209,137.280080,201.873624,18.017802
-1188.5,172.664822,137.280080,201.873624,18.016681
-1188,172.871434,137.499375,201.873624,18.015560
-1187.5,172.929335,137.499375,201.873624,18.015000
-1187,172.987235,137.499375,201.873624,18.014439
-1186.5,173.049910,137.749374,201.749083,18.013878
-1186,173.112585,137.749374,201.749083,18.013318
-1185.5,173.253320,137.749374,201.749083,18.012758
-1185,173.394055,137.749374,201.749083,18.012198
-1184.5,173.457123,137.749374,201.749083,18.011637
-1184,173.520191,137.811404,201.749083,18.011077
-1183.5,173.652159,137.811404,201.749083,18.010517
-1183,173.784128,137.811404,201.749083,18.009957
-1182.5,173.784128,137.811404,201.749083,18.009957
-1182,173.784128,137.811404,201.749083,18.009957
-1181.5,173.784128,137.811404,201.749083,18.009957
-1181,173.784128,137.811404,201.749083,18.009957
-1180.5,173.725200,137.811404,201.749083,18.010518
-1180,173.666272,137.811404,201.749083,18.011078
-1179.5,173.666272,137.811404,201.749083,18.011078
-1179,173.666272,137.811404,201.749083,18.011078
-1178.5,173.560273,137.749374,201.749083,18.012199
-1178,173.454275,137.749374,201.873624,18.013320
-1177.5,173.408008,137.499375,201.873624,18.013881
-1177,173.361741,137.499375,201.873624,18.014442
-1176.5,173.170709,137.499375,201.904529,18.015562
-1176,172.979677,137.280080,201.904529,18.016683
-1175.5,172.941329,137.280080,201.904529,18.017244
-1175,172.902982,137.280080,201.904529,18.017804
-1174.5,172.845551,137.249376,201.998623,18.018926
-1174,172.788120,137.249376,201.998623,18.020048
-1173.5,172.609137,137.249376,201.999082,18.021169
-1173,172.430154,137.249376,201.999082,18.022290
-1172.5,172.416627,137.249376,238.873100,18.023412
-1172,172.403100,137.249376,238.998914,18.024533
-1171.5,172.426125,136.999377,239.873092,18.025655
-1171,172.449150,136.999377,240.498087,18.026777
-1170.5,172.512488,136.999377,240.935583,18.027899
-1170,172.575827,136.999377,241.748901,18.029022
-1169.5,172.623718,136.624068,241.748901,18.029583
-1169,172.671610,136.624068,241.748901,18.030144
-1168.5,172.942108,136.624068,242.623070,18.030706
-1168,173.212606,136.624068,243.248341,18.031267
-1167.5,173.289129,136.624068,243.248341,18.031829
-1167,173.365653,136.624068,243.498893,18.032390
-1166.5,173.453536,136.624068,243.498893,18.032951
-1166,173.541419,136.624068,243.498893,18.033512
-1165.5,173.541419,136.624068,243.498893,18.033512
